MaxTemperatureF,ZIP
77,94301
77,94301
77,94301
77,94301
77,94301
77,94301
77,94301
77,94301
77,94301
77,94301
77,94301
77,94301
77,94301
77,94301
77,94301
77,94301
77,94301
77,94301
77,94301
77,94301
77,94301
77,94301
77,94301
77,94301
77,94301
77,94301
77,94301
77,94301
77,94041
77,94041
77,94041
77,94041
77,94041
77,94041
77,94041
77,94041
77,94041
77,94041
77,94041
77,94041
77,94041
77,94041
77,94041
77,94041
77,94041
77,94041
77,94041
77,94041
77,94041
77,95113
77,95113
77,95113
77,95113
77,95113
77,95113
77,95113
77,95113
77,95113
77,95113
77,95113
77,95113
77,95113
76,94107
76,94107
76,94107
76,94107
76,94107
76,94107
76,94107
76,94107
76,94107
76,94107
76,94107
76,94107
76,94041
76,94041
76,94041
76,94041
76,94041
76,94041
76,94041
76,94041
76,94041
76,94041
76,94041
76,94041
76,94041
76,94041
76,95113
76,95113
76,95113
76,95113
76,95113
76,95113
76,95113
75,94107
75,94107
75,94107
75,94107
75,94107
75,94107
75,94107
75,94107
75,94107
75,94107
75,94107
75,94107
75,94107
75,94107
75,94107
75,94107
75,94063
75,94063
75,94063
75,94063
75,94063
75,94063
75,94063
75,94063
75,94063
75,94063
75,94063
75,94063
75,94063
75,94063
75,94063
75,94063
75,94063
75,94063
75,94063
75,94063
75,94063
75,94063
75,94063
75,94063
75,94063
75,94063
75,94063
75,94063
75,94063
75,94301
75,94301
75,94301
75,94301
75,94301
75,94301
75,94301
75,94301
75,94301
75,94301
75,94301
75,94301
75,94301
75,94301
75,94301
75,94301
75,94301
75,94301
75,94301
75,94301
75,94301
75,94301
75,94301
75,94301
75,94301
75,94301
75,94301
75,94301
75,94301
75,94301
75,94301
75,94301
75,94041
75,94041
75,94041
75,94041
75,94041
75,94041
75,94041
75,94041
75,94041
75,94041
75,94041
75,94041
75,94041
75,94041
75,94041
75,94041
75,95113
75,95113
75,95113
75,95113
75,95113
75,95113
75,95113
75,95113
75,95113
75,95113
75,95113
74,94107
74,94107
74,94107
74,94107
74,94107
74,94107
74,94107
74,94107
74,94107
74,94107
74,94107
74,94107
74,94107
74,94041
74,94041
74,94041
74,94041
74,94041
74,94041
74,94041
74,94041
74,94041
74,94041
74,94041
74,94041
74,94041
74,95113
74,95113
74,95113
74,95113
74,95113
74,95113
74,95113
73,94107
73,94107
73,94107
73,94107
73,94107
73,94107
73,94107
73,94107
73,94107
73,94107
73,94107
73,94107
73,94107
73,94107
73,94107
73,94107
73,94107
73,94107
73,94107
73,94107
73,94107
73,94107
73,94107
73,94063
73,94063
73,94063
73,94063
73,94063
73,94063
73,94063
73,94063
73,94063
73,94063
73,94063
73,94063
73,94063
73,94063
73,94063
73,94063
73,94063
73,94063
73,94063
73,94063
73,94063
73,94063
73,94063
73,94063
73,94063
73,94063
73,94063
73,94063
73,94063
73,94063
73,94063
73,94063
73,94063
73,94063
73,94301
73,94301
73,94301
73,94301
73,94301
73,94301
73,94301
73,94301
73,94301
73,94301
73,94301
73,94301
73,94301
73,94301
73,94301
73,94301
73,94301
73,94301
73,94301
73,94301
73,94301
73,94301
73,94301
73,94301
73,94301
73,94301
73,94041
73,94041
73,94041
73,94041
73,94041
73,94041
73,94041
73,94041
73,94041
73,94041
73,94041
73,94041
73,94041
73,94041
73,94041
73,94041
73,95113
73,95113
73,95113
73,95113
73,95113
73,95113
73,95113
73,95113
73,95113
73,95113
73,95113
73,95113
73,95113
73,95113
73,95113
73,95113
73,95113
73,95113
72,94107
72,94107
72,94107
72,94107
72,94107
72,94107
72,94107
72,94107
72,94107
72,94107
72,94107
72,94107
72,94107
72,94107
72,94107
72,94107
72,94107
72,94041
72,94041
72,94041
72,94041
72,94041
72,94041
72,94041
72,94041
72,94041
72,94041
72,94041
72,94041
72,94041
72,94041
72,94041
72,94041
72,94041
72,94041
72,94041
72,94041
72,95113
72,95113
72,95113
72,95113
72,95113
72,95113
72,95113
72,95113
72,95113
72,95113
72,95113
72,95113
71,94107
71,94107
71,94107
71,94107
71,94107
71,94107
71,94107
71,94107
71,94107
71,94107
71,94107
71,94107
71,94107
71,94107
71,94107
71,94063
71,94063
71,94063
71,94063
71,94063
71,94063
71,94063
71,94063
71,94063
71,94063
71,94063
71,94063
71,94063
71,94063
71,94063
71,94063
71,94063
71,94063
71,94063
71,94063
71,94063
71,94063
71,94063
71,94063
71,94063
71,94301
71,94301
71,94301
71,94301
71,94301
71,94301
71,94301
71,94301
71,94301
71,94301
71,94301
71,94301
71,94301
71,94301
71,94301
71,94301
71,94301
71,94301
71,94301
71,94301
71,94301
71,94301
71,94301
71,94301
71,94301
71,94301
71,94301
71,94301
71,94301
71,94301
71,94301
71,94041
71,94041
71,94041
71,94041
71,94041
71,94041
71,94041
71,94041
71,94041
71,94041
71,94041
71,95113
71,95113
71,95113
71,95113
71,95113
71,95113
71,95113
71,95113
71,95113
71,95113
71,95113
71,95113
71,95113
71,95113
70,94107
70,94107
70,94107
70,94107
70,94107
70,94107
70,94107
70,94107
70,94107
70,94107
70,94107
70,94107
70,94107
70,94107
70,94107
70,94107
70,94107
70,94107
70,94107
70,94107
70,94107
70,94107
70,94107
70,94107
70,94107
70,94107
70,94041
70,94041
70,94041
70,94041
70,94041
70,94041
70,94041
70,94041
70,94041
70,94041
70,94041
70,94041
70,94041
70,94041
70,94041
70,95113
70,95113
70,95113
70,95113
70,95113
70,95113
70,95113
70,95113
70,95113
69,94107
69,94107
69,94107
69,94107
69,94107
69,94107
69,94107
69,94107
69,94107
69,94107
69,94107
69,94107
69,94107
69,94107
69,94107
69,94063
69,94063
69,94063
69,94063
69,94063
69,94063
69,94063
69,94063
69,94063
69,94063
69,94063
69,94063
69,94301
69,94301
69,94301
69,94301
69,94301
69,94301
69,94301
69,94301
69,94301
69,94301
69,94301
69,94301
69,94301
